Word	Frequency	Diversity	Clusters	Density	Synsets	WikiFreq
spend	91	0.2810055645963021	14	0.3816963142214986	3	1630
monitor	20	0.32887945085219605	3	0.38389038238256884	9	14851
nationalize	4	0.18781955527230956	2	0.7067016077681614	2	125
witch	8	0.17525833708378902	3	0.49001113480752134	5	1681
edge	39	0.2531414750272679	9	0.4554115419434801	10	1356
windy	3	0.17509253603714137	2	0.6536061103360112	4	2582
unnatural	5	0.18698279610483437	3	0.4936940297306192	3	1379
rhythm	38	0.17933643751881176	8	0.45625824801079323	5	2970
beaverbrook	3	0.14223506968659913	2	0.8010505881065343	1	1249
portrayal	3	0.14709319992963613	2	0.8192882868071231	5	1318
unilateral	11	0.1332360606071756	4	0.44908214959222226	2	663
distant	10	0.24409779513595925	3	0.5034261717146435	5	58
hierarchical	5	0.17998075054561652	3	0.6286316090105067	1	1194
insight	9	0.1416789278584438	3	0.4765675715728569	4	471
together	109	0.27159887774098856	23	0.4284202906607584	7	592605
angel	4	0.23686378308943173	2	0.4080580892836127	4	27981
overwhelm	18	0.3235356733111043	5	0.45747140600754765	4	560
champion	18	0.2777868651627741	4	0.5463085374270459	6	103
submit	24	0.23801245201824475	7	0.48376644730232493	10	610
evident	21	0.23412789581964097	6	0.4403420836995993	2	29692
management	90	0.27345330281912555	16	0.4372712324277926	2	159
sacred	7	0.1623983069809763	3	0.47049458265828553	5	52592
gun	22	0.174440927867848	9	0.4097164178172753	8	1482
billion	12	0.16992764802667212	5	0.49462568698157516	5	864
cluster	6	0.19930192818631512	3	0.5828303379277178	3	10124
loosen	4	0.1335632372563393	2	0.591095003868125	7	196
worcester	5	0.21624642085947293	3	0.7272010332232658	3	37092
religious	66	0.250956697409781	10	0.44306614136192013	5	46178
enable	32	0.26670417739953695	9	0.5015032205319068	1	1757
cry	30	0.19949372748572014	8	0.3899870054869127	12	56
semantic	3	0.15412716243037017	2	0.7012819480194982	1	3534
eject	4	0.19788613093665552	2	0.6426428013518324	4	337
cloth	11	0.22767621484121392	5	0.4603575401304078	1	3297
garage	7	0.20250036894705478	2	0.5451879124009547	3	288
arab	3	0.20103607090140888	2	0.7301421348843458	2	168
naturally	19	0.3073990638669197	4	0.4032685315440044	4	36963
suitable	39	0.3130425770928203	8	0.40697102276819297	2	81
wilkinson	6	0.22471114867083217	3	0.45704281090944643	1	24158
gallon	3	0.0814492920040673	2	0.7378058872440433	2	1011
sweet	13	0.25511612833473135	4	0.42250930193372327	16	1897
language	56	0.24026690336191575	10	0.4096663636357878	6	1702
racism	3	0.09600906843524663	2	0.5393249492320908	2	3916
retrieve	5	0.22640430710772702	2	0.5384649906177182	4	39111
preferential	4	0.14530689188660167	1	0.5995404638274303	1	617
repress	4	0.19953808467458412	2	0.5279438467122851	4	194
tale	27	0.19665545212089994	9	0.5083793191921279	2	102
expansion	9	0.21019699003005252	3	0.5541022762760752	4	34
korchnoi	3	0.08661516717148592	2	0.6420704648998601	1	833
chic	3	0.21175061160237937	2	0.6237979772086933	2	1449
unaware	13	0.16137109708045339	4	0.5651386378056746	1	21858
steam	4	0.21007162796003062	2	0.5626864461519009	7	817
germany	47	0.23938314078801864	7	0.38491556383482245	1	116321
travel	25	0.3115419623664011	5	0.45608655465585657	9	46456
noise	23	0.21043239364552818	7	0.3642067326979037	7	1122
density	6	0.14729213540881228	3	0.5625049110811654	2	3651
lords	8	0.12842807004332926	3	0.6491273201134542	4	7203
super	10	0.2404649822866408	3	0.3377925862883136	5	291
arrogance	7	0.18576629344138537	3	0.5799122018676007	1	336
furious	4	0.09729209926992805	2	0.6361295074034203	3	19306
country	236	0.26773558179331364	32	0.4374463246657808	5	384
usa	10	0.2550840836723408	4	0.5402719900852186	2	147
gear	15	0.23440610311852408	4	0.48133758909207275	5	3618
guitar	7	0.15581438398675745	4	0.46099562212839096	1	72900
input	27	0.20859508928499387	7	0.4029133799670668	5	52
rubber	9	0.2304821339485462	4	0.4897949289159412	7	74
extinguish	3	0.20458738413746777	2	0.5628176637322538	5	168
